.	2039168
的	1857451
,	1124051
一	605913
是	553246
我	507880
了	503963
在	451312
他	431989
有	393857
不	375492
们	339766
这	335149
人	310418
个	308872
和	247169
你	233433
。	220370
上	213013
为	206567
要	204600
中	201495
用	199245
来	192140
到	190114
大	183046
对	181766
会	181109
能	175244
可	173599
以	171401
时	170228
生	166465
、	161426
地	160398
?	153515
出	149833
行	142868
国	141941
作	137832
子	137394
得	133712
她	133055
过	130031
发	130031
那	129200
成	128927
于	126868
方	125444
法	121817
多	121227
分	120826
就	120086
下	114871
学	113309
工	109158
性	108380
种	108039
动	106635
些	106587
好	106087
自	105521
经	105212
很	104901
现	103318
后	103076
家	102461
进	102024
里	100055
都	100049
理	99999
说	95224
着	94883
，	94471
0	93495
机	93072
定	92921
开	92450
而	91068
也	90889
年	90769
所	90612
:	89618
去	88873
面	87985
本	86878
么	86685
事	85968
最	85716
力	84783
天	84059
小	81933
应	81391
电	80593
之	80515
没	80412
起	80076
把	78923
公	78358
实	78335
如	78301
物	78300
高	77799
将	77324
制	77320
1	76951
同	76520
看	75809
间	75281
重	74668
与	74265
点	73996
化	73633
体	73582
使	73547
业	73447
意	72977
心	72871
合	72701
新	72529
前	72271
果	71236
其	71218
部	70389
被	70369
常	70064
度	69975
加	69626
提	69626
想	69604
样	69176
产	69090
然	68995
当	67891
关	67796
主	67335
因	67063
计	66992
结	66577
者	66414
还	66128
从	65984
文	65964
系	65868
正	65853
数	65355
并	65182
道	65165
表	64720
无	63636
它	63619
通	63498
已	63419
目	63083
问	62484
明	62132
水	61934
但	61756
特	61687
量	61497
相	61325
全	60887
件	60683
及	58482
情	57998
程	57378
车	57366
给	57254
位	57156
美	57121
外	56894
信	56808
品	56771
手	56186
利	56064
比	55714
什	55192
长	54622
“	54308
只	54054
”	53477
该	53451
2	53330
吗	53100
统	52860
题	52606
员	52413
场	52244
设	51279
气	50600
期	50419
变	50404
做	50344
)	49566
斯	49566
保	49531
此	49399
内	49374
更	49319
感	49307
或	49076
!	49072
(	48859
受	48505
论	48137
管	47448
式	47218
入	46986
两	46952
向	46851
次	46134
术	45722
活	45478
色	45423
接	45411
基	44999
非	44557
话	44420
司	44172
头	44132
己	43998
处	43921
解	43837
研	43772
名	43759
知	43650
打	43590
安	42858
器	42664
究	42124
运	41740
建	41730
由	41420
认	40560
任	40503
金	40437
等	40319
资	40248
务	40225
真	39971
回	39775
型	39689
政	39668
具	39186
教	39156
代	39111
儿	38979
日	38957
需	38949
请	38891
西	38826
尔	38802
格	38780
别	38708
何	38542
流	38495
市	38401
展	38374
总	38356
平	38226
让	38144
克	38111
第	37997
直	37936
每	37550
身	36800
口	36797
球	36668
服	36596
价	36181
许	36155
见	36128
必	36046
影	36020
光	35865
先	35820
放	35820
质	35693
效	35508
形	35395
几	35392
原	35141
交	35035
5	34896
路	34803
单	34555
标	34438
女	34338
-	34335
决	34283
完	34211
装	34089
组	33996
算	33777
太	33757
类	33700
持	33639
少	33551
料	33494
快	33387
指	33357
三	33294
选	33182
据	33169
试	33161
老	33128
带	33112
条	33058
语	32958
确	32848
求	32788
病	32771
收	32761
孩	32704
英	32274
3	32256
测	32233
技	32185
立	32150
区	32116
包	32109
线	32031
取	31895
备	31714
空	31714
世	31562
像	31424
模	31384
9	31344
声	31326
反	31102
图	31050
告	30894
供	30889
海	30762
调	30750
证	30705
走	30627
门	30505
验	30478
再	30067
民	29955
造	29945
达	29861
欢	29853
风	29828
爱	29779
议	29764
报	29694
示	29628
望	29501
准	29465
始	29437
改	29415
强	29029
十	28991
界	28966
传	28940
候	28873
马	28856
难	28706
各	28647
治	28483
商	28306
乐	28296
构	28159
项	28023
书	28021
存	28007
失	28006
显	27965
布	27698
房	27698
息	27686
导	27637
拉	27622
复	27564
观	27488
二	27343
控	27218
又	27106
—	27064
整	27044
您	27016
网	26983
节	26939
C	26935
花	26746
热	26709
功	26668
象	26624
义	26621
今	26602
德	26572
A	26404
转	26278
喜	26162
离	26142
月	26107
易	26104
视	26061
支	26026
字	25996
采	25994
记	25880
约	25741
片	25708
响	25698
听	25630
队	25464
析	25412
消	25360
音	25302
战	25188
觉	25175
住	25166
白	25140
4	25100
费	24860
须	24805
切	24800
步	24768
东	24751
参	24709
科	24630
e	24242
近	24238
精	24184
增	24183
容	24099
率	24067
注	24064
助	24005
细	23949
引	23919
言	23747
速	23676
客	23588
且	23482
规	23411
神	23409
干	23287
8	23246
低	23189
值	23174
火	23165
星	23050
查	23017
才	22975
清	22941
边	22809
压	22766
师	22742
士	22727
济	22722
S	22655
断	22646
周	22606
讨	22600
6	22413
油	22360
满	22344
亚	22143
极	22127
较	21999
素	21955
联	21952
P	21945
置	21902
a	21891
态	21855
环	21821
维	21676
赛	21589
至	21555
吃	21425
考	21295
预	21213
越	21144
便	21138
况	21137
命	21100
权	21036
适	21028
游	20903
元	20838
源	20709
演	20665
轻	20605
划	20539
争	20521
眼	20515
亲	20390
际	20344
根	20311
护	20188
投	20179
希	20120
击	20116
领	20109
思	20102
优	20036
友	19993
钱	19956
状	19954
张	19947
怎	19936
广	19900
识	19876
集	19874
除	19841
例	19823
食	19778
则	19549
死	19490
找	19365
未	19276
户	19261
远	19257
险	19182
社	19143
随	19077
密	19065
介	19047
检	18994
台	18955
述	18926
往	18888
医	18886
7	18863
专	18860
致	18832
足	18800
四	18772
山	18726
习	18674
照	18648
列	18632
呢	18476
深	18412
获	18392
简	18332
飞	18237
男	18223
共	18175
疗	18175
够	18138
石	18103
写	18081
城	18069
军	18050
错	18047
续	17975
否	17946
令	17847
D	17845
伤	17796
案	17742
号	17687
配	17665
吧	17662
罗	17627
